Benefit_ID,Beneficiary_ID,Benefit_Type,Date_Provided,Status,Remarks
1,129,Training Session,2025-08-12,In Progress,
2,398,Maintenance Check,2026-03-20,Completed,
3,540,Maintenance Check,2026-04-22,Pending,National early kitchen add man particular.
4,68,Safety Kit,2026-04-10,Completed,
5,93,Safety Kit,2026-06-12,Completed,Single born remain executive now summer pass.
6,283,Maintenance Check,2026-02-02,Completed,
7,467,Safety Kit,2026-05-09,Completed,Yourself source themselves effort.
8,131,Gas Detector Install,2025-10-01,Completed,That deep effect morning record form among.
9,289,Subsidized Equipment,2026-03-10,Completed,Admit accept plan prevent out city cost mention.
10,294,Maintenance Check,2026-05-24,In Progress,
11,318,Safety Kit,2026-02-22,Pending,Investment west finally support impact sea executive style.
12,24,Safety Kit,2025-09-25,In Progress,
13,332,Training Session,2025-09-20,Completed,Range arrive enough party national fine water answer.
14,306,Gas Detector Install,2025-11-18,Pending,Leg product above member stuff west.
15,303,Maintenance Check,2025-08-11,Completed,
16,370,Subsidized Equipment,2025-11-23,Completed,
17,120,Subsidized Equipment,2026-06-08,Completed,
18,251,Safety Kit,2025-08-20,Completed,
19,369,Training Session,2025-08-22,Completed,
20,368,Safety Kit,2026-03-22,Completed,
21,439,Subsidized Equipment,2026-03-03,Pending,Similar very season child.
22,218,Maintenance Check,2026-04-01,Completed,
23,169,Maintenance Check,2025-08-25,Completed,Figure side art as.
24,226,Safety Kit,2025-07-23,Completed,Still billion shake memory.
25,18,Gas Detector Install,2026-05-30,Completed,Let financial power leg up military capital.
26,323,Subsidized Equipment,2026-04-21,Completed,White play beyond education gun.
27,7,Safety Kit,2025-09-17,In Progress,
28,44,Training Session,2026-03-12,Completed,Develop reality reason.
29,202,Gas Detector Install,2025-08-23,Completed,
30,132,Training Session,2026-06-06,Completed,Rather appear bit western none science she.
31,151,Gas Detector Install,2025-09-20,Pending,Cold nation might.
32,79,Gas Detector Install,2026-05-20,In Progress,
33,522,Gas Detector Install,2025-09-13,Completed,Long possible record whatever attack fear difference.
34,372,Gas Detector Install,2025-12-11,Completed,Need explain often three.
35,59,Gas Detector Install,2025-11-12,Rejected,
36,201,Gas Detector Install,2025-12-30,Completed,Scene own too office.
37,192,Maintenance Check,2026-01-16,In Progress,
38,152,Training Session,2025-08-17,Pending,Human control up become.
39,319,Gas Detector Install,2025-10-22,Completed,
40,229,Subsidized Equipment,2026-03-14,Rejected,Carry moment consumer those room.
41,192,Training Session,2026-06-23,Completed,
42,74,Training Session,2025-11-09,Completed,
43,354,Subsidized Equipment,2026-02-22,Completed,Talk audience man economy.
44,533,Safety Kit,2025-08-05,Completed,Ten million here develop thought feeling young.
